Date,Open,High,Low,Close,Volume
2020-01-01,1.1,1.10109,1.09803,1.09867,311
2020-01-01,1.09867,1.09949,1.0981,1.0985,1060
2020-01-01,1.0985,1.10057,1.09809,1.10004,914
2020-01-01,1.10004,1.10014,1.09832,1.0992,893
2020-01-01,1.0992,1.10003,1.09892,1.09999,1656
2020-01-01,1.09999,1.10024,1.09994,1.10005,843
2020-01-01,1.10005,1.10023,1.0986,1.09962,1006
2020-01-01,1.09962,1.10007,1.09885,1.09982,932
2020-01-01,1.09982,1.10139,1.09818,1.09911,889
2020-01-01,1.09911,1.10137,1.09848,1.09986,271
2020-01-01,1.09986,1.10095,1.09961,1.10061,1138
2020-01-01,1.10061,1.10098,1.10043,1.10086,1386
2020-01-01,1.10086,1.10261,1.10035,1.10257,1220
2020-01-01,1.10257,1.10369,1.10231,1.10311,1314
2020-01-01,1.10311,1.10322,1.10293,1.103,989
2020-01-01,1.103,1.10355,1.1025,1.103,1059
2020-01-01,1.103,1.10376,1.10176,1.102,1005
2020-01-01,1.102,1.10517,1.10152,1.10319,1475
2020-01-01,1.10319,1.10718,1.1024,1.10564,1232
2020-01-01,1.10564,1.10598,1.10208,1.1037,1312
2020-01-01,1.1037,1.10552,1.10226,1.10436,1165
2020-01-01,1.10436,1.10558,1.10312,1.10523,569
2020-01-01,1.10523,1.1071,1.10303,1.10385,927
2020-01-01,1.10385,1.10409,1.10334,1.10356,1080
2020-01-02,1.10356,1.10669,1.10196,1.10212,1080
2020-01-02,1.10212,1.10362,1.10152,1.10352,1123
2020-01-02,1.10352,1.10473,1.10058,1.10176,1086
2020-01-02,1.10176,1.10525,1.10008,1.10413,1071
2020-01-02,1.10413,1.10464,1.104,1.10444,271
2020-01-02,1.10444,1.10569,1.10227,1.10308,1198
2020-01-02,1.10308,1.10582,1.10279,1.10437,1316
2020-01-02,1.10437,1.10661,1.10286,1.1066,950
2020-01-02,1.1066,1.10674,1.10377,1.10476,1032
2020-01-02,1.10476,1.10494,1.10307,1.10424,1625
2020-01-02,1.10424,1.10615,1.10328,1.10578,1001
2020-01-02,1.10578,1.10683,1.10551,1.10655,409
2020-01-02,1.10655,1.1078,1.10504,1.10526,543
2020-01-02,1.10526,1.10639,1.10348,1.10427,1354
2020-01-02,1.10427,1.10474,1.10394,1.10402,543
2020-01-02,1.10402,1.10555,1.10277,1.10328,680
2020-01-02,1.10328,1.10479,1.10327,1.1047,1447
2020-01-02,1.1047,1.10525,1.10127,1.10266,571
2020-01-02,1.10266,1.10355,1.10162,1.10172,438
