time,open,high,low,close,volume
2020-01-01T00:00:00+00:00,1.1,1.10053,1.09969,1.10011,1297.71
2020-01-01T01:00:00+00:00,1.10011,1.10022,1.099,1.09981,1047.26
2020-01-01T02:00:00+00:00,1.09981,1.10004,1.09942,1.09976,990.75
2020-01-01T03:00:00+00:00,1.09976,1.10103,1.09954,1.10043,868.56
2020-01-01T04:00:00+00:00,1.10043,1.10199,1.09723,1.09892,928.4
2020-01-01T05:00:00+00:00,1.09892,1.09904,1.0987,1.09873,599.32
2020-01-01T06:00:00+00:00,1.09873,1.0988,1.09839,1.09863,746.13
2020-01-01T07:00:00+00:00,1.09863,1.09966,1.09793,1.09818,340.99
2020-01-01T08:00:00+00:00,1.09818,1.09938,1.09419,1.09658,1239.57
2020-01-01T09:00:00+00:00,1.09658,1.09709,1.09637,1.09695,1158.24
2020-01-01T10:00:00+00:00,1.09695,1.09833,1.09643,1.09813,818.62
2020-01-01T11:00:00+00:00,1.09813,1.09817,1.09635,1.09701,1320.58
2020-01-01T12:00:00+00:00,1.09701,1.09848,1.09363,1.09491,372.14
2020-01-01T13:00:00+00:00,1.09491,1.10031,1.09452,1.09705,842.44
2020-01-01T14:00:00+00:00,1.09705,1.10134,1.09575,1.09892,780.58
2020-01-01T15:00:00+00:00,1.09892,1.09917,1.09851,1.09874,658.71
2020-01-01T16:00:00+00:00,1.09874,1.09886,1.09805,1.09865,278.42
2020-01-01T17:00:00+00:00,1.09865,1.10146,1.0981,1.10038,1091.48
2020-01-01T18:00:00+00:00,1.10038,1.10128,1.09974,1.09985,935.33
2020-01-01T19:00:00+00:00,1.09985,1.09993,1.09952,1.09959,736.31
2020-01-01T20:00:00+00:00,1.09959,1.10469,1.09437,1.10192,963.15
2020-01-01T21:00:00+00:00,1.10192,1.10206,1.10168,1.10176,955.56
2020-01-01T22:00:00+00:00,1.10176,1.10259,1.10154,1.10213,888.15
2020-01-01T23:00:00+00:00,1.10213,1.10507,1.10077,1.10433,1697.18
2020-01-02T00:00:00+00:00,1.10433,1.10564,1.10348,1.10521,1089.5
2020-01-02T01:00:00+00:00,1.10521,1.10602,1.10329,1.10427,848.15
2020-01-02T02:00:00+00:00,1.10427,1.10592,1.10294,1.10553,1200.65
2020-01-02T03:00:00+00:00,1.10553,1.10587,1.10514,1.1056,949.38
2020-01-02T04:00:00+00:00,1.1056,1.10562,1.10502,1.10544,1200.69
2020-01-02T05:00:00+00:00,1.10544,1.10718,1.10518,1.107,922.03
2020-01-02T06:00:00+00:00,1.107,1.10758,1.10581,1.10611,747.42
2020-01-02T07:00:00+00:00,1.10611,1.10695,1.10542,1.10561,1014.73
2020-01-02T08:00:00+00:00,1.10561,1.10777,1.10429,1.1043,1331.18
2020-01-02T09:00:00+00:00,1.1043,1.10464,1.10307,1.10346,1195.99
2020-01-02T10:00:00+00:00,1.10346,1.10426,1.10218,1.10243,1277.41
2020-01-02T11:00:00+00:00,1.10243,1.10253,1.10198,1.10246,793.84
2020-01-02T12:00:00+00:00,1.10246,1.10275,1.10206,1.10216,790.98
2020-01-02T13:00:00+00:00,1.10216,1.10314,1.10209,1.10263,868.29
2020-01-02T14:00:00+00:00,1.10263,1.10304,1.10191,1.10218,721.11
2020-01-02T15:00:00+00:00,1.10218,1.10284,1.10181,1.10261,1371.89
2020-01-02T16:00:00+00:00,1.10261,1.10408,1.10255,1.10354,1150.44
2020-01-02T17:00:00+00:00,1.10354,1.10362,1.10238,1.10281,463.22
2020-01-02T18:00:00+00:00,1.10281,1.10353,1.10257,1.10318,597.53
2020-01-02T19:00:00+00:00,1.10318,1.10394,1.10292,1.10354,1181.39
2020-01-02T20:00:00+00:00,1.10354,1.1041,1.1033,1.10379,1256.22
2020-01-02T21:00:00+00:00,1.10379,1.10418,1.10236,1.10277,916.42
2020-01-02T22:00:00+00:00,1.10277,1.1056,1.09924,1.10549,395.14
2020-01-02T23:00:00+00:00,1.10549,1.10702,1.10195,1.10294,906.31
2020-01-03T00:00:00+00:00,1.10294,1.10354,1.10268,1.10288,689.94
2020-01-03T01:00:00+00:00,1.10288,1.10324,1.1026,1.10262,1111.52
2020-01-03T02:00:00+00:00,1.10262,1.10292,1.10176,1.10183,915.32
2020-01-03T03:00:00+00:00,1.10183,1.10414,1.09994,1.10327,705.79
2020-01-03T04:00:00+00:00,1.10327,1.10515,1.10181,1.10447,1040.93
2020-01-03T05:00:00+00:00,1.10447,1.1053,1.10414,1.10492,687.42
2020-01-03T06:00:00+00:00,1.10492,1.10667,1.10162,1.10262,822.39
2020-01-03T07:00:00+00:00,1.10262,1.10322,1.10206,1.10258,1074.8
2020-01-03T08:00:00+00:00,1.10258,1.10285,1.10122,1.10213,880.66
2020-01-03T09:00:00+00:00,1.10213,1.10427,1.10092,1.10309,743.54
2020-01-03T10:00:00+00:00,1.10309,1.10318,1.10265,1.10315,567.91
2020-01-03T11:00:00+00:00,1.10315,1.10418,1.10305,1.10401,1364.73
2020-01-03T12:00:00+00:00,1.10401,1.10446,1.10286,1.10287,982.2
2020-01-03T13:00:00+00:00,1.10287,1.10352,1.10272,1.10342,1079.68
2020-01-03T14:00:00+00:00,1.10342,1.10606,1.10202,1.10563,1182.51
2020-01-03T15:00:00+00:00,1.10563,1.10601,1.10481,1.10523,1348.14
2020-01-03T16:00:00+00:00,1.10523,1.10559,1.10407,1.10431,1249.73
2020-01-03T17:00:00+00:00,1.10431,1.10605,1.10414,1.10534,713.2
2020-01-03T18:00:00+00:00,1.10534,1.10614,1.10477,1.10596,1292.03
2020-01-03T19:00:00+00:00,1.10596,1.10657,1.10579,1.10619,602.47
2020-01-03T20:00:00+00:00,1.10619,1.1065,1.10397,1.10519,1011.3
2020-01-03T21:00:00+00:00,1.10519,1.10597,1.10289,1.10366,1054.79
2020-01-03T22:00:00+00:00,1.10366,1.10405,1.10087,1.10195,1137.19
2020-01-03T23:00:00+00:00,1.10195,1.10317,1.09869,1.09987,887.13
2020-01-04T00:00:00+00:00,1.09987,1.10262,1.09977,1.10147,1334.13
2020-01-04T01:00:00+00:00,1.10147,1.10427,1.10035,1.10296,465.91
2020-01-04T02:00:00+00:00,1.10296,1.10412,1.10289,1.1034,615.55
2020-01-04T03:00:00+00:00,1.1034,1.10532,1.10291,1.1046,1005.14
2020-01-04T04:00:00+00:00,1.1046,1.10475,1.10449,1.10466,1074.82
2020-01-04T05:00:00+00:00,1.10466,1.10541,1.10362,1.10518,1084.67
2020-01-04T06:00:00+00:00,1.10518,1.1082,1.10423,1.10676,493.97
2020-01-04T07:00:00+00:00,1.10676,1.10858,1.10668,1.1082,922.25
2020-01-04T08:00:00+00:00,1.1082,1.10877,1.10816,1.10834,860.86
2020-01-04T09:00:00+00:00,1.10834,1.10903,1.10808,1.10833,1099.54
2020-01-04T10:00:00+00:00,1.10833,1.10926,1.10632,1.10636,1188.64
2020-01-04T11:00:00+00:00,1.10636,1.10675,1.10635,1.10636,699.95
2020-01-04T12:00:00+00:00,1.10636,1.10686,1.10518,1.10559,1252.29
2020-01-04T13:00:00+00:00,1.10559,1.10726,1.10471,1.10675,947.84
2020-01-04T14:00:00+00:00,1.10675,1.10692,1.10656,1.10674,530.44
2020-01-04T15:00:00+00:00,1.10674,1.10738,1.10525,1.1061,1043.96
2020-01-04T16:00:00+00:00,1.1061,1.10681,1.10536,1.10662,1282.26
2020-01-04T17:00:00+00:00,1.10662,1.10834,1.10531,1.10781,1167.39
2020-01-04T18:00:00+00:00,1.10781,1.10849,1.10762,1.10816,1378.08
2020-01-04T19:00:00+00:00,1.10816,1.10846,1.10743,1.10783,307.27
2020-01-04T20:00:00+00:00,1.10783,1.10864,1.10642,1.10732,1305.09
2020-01-04T21:00:00+00:00,1.10732,1.10759,1.10652,1.10655,1063.56
2020-01-04T22:00:00+00:00,1.10655,1.10666,1.10507,1.10544,1250.48
2020-01-04T23:00:00+00:00,1.10544,1.10655,1.10322,1.10458,1724.51
2020-01-05T00:00:00+00:00,1.10458,1.10476,1.10112,1.10306,1113.47
2020-01-05T01:00:00+00:00,1.10306,1.10438,1.10211,1.10369,1056.17
2020-01-05T02:00:00+00:00,1.10369,1.10491,1.10352,1.1044,242.1
2020-01-05T03:00:00+00:00,1.1044,1.1045,1.10349,1.1036,1474.95
2020-01-05T04:00:00+00:00,1.1036,1.1057,1.10188,1.1023,822.54
2020-01-05T05:00:00+00:00,1.1023,1.10295,1.10204,1.10263,1432.57
2020-01-05T06:00:00+00:00,1.10263,1.10591,1.10256,1.10416,1600.18
2020-01-05T07:00:00+00:00,1.10416,1.10466,1.10367,1.1037,873.94
2020-01-05T08:00:00+00:00,1.1037,1.10673,1.10341,1.1055,1272.13
2020-01-05T09:00:00+00:00,1.1055,1.10625,1.10307,1.104,1011.71
2020-01-05T10:00:00+00:00,1.104,1.1044,1.10251,1.1028,1385.49
2020-01-05T11:00:00+00:00,1.1028,1.10411,1.1024,1.10388,958.42
2020-01-05T12:00:00+00:00,1.10388,1.10449,1.10296,1.10362,1407.1
2020-01-05T13:00:00+00:00,1.10362,1.10417,1.10317,1.10405,895.26
2020-01-05T14:00:00+00:00,1.10405,1.10502,1.10388,1.10432,1432.03
2020-01-05T15:00:00+00:00,1.10432,1.10561,1.10301,1.10315,1500.16
2020-01-05T16:00:00+00:00,1.10315,1.1052,1.10263,1.1048,966.85
2020-01-05T17:00:00+00:00,1.1048,1.10483,1.1035,1.10374,557.08
2020-01-05T18:00:00+00:00,1.10374,1.1039,1.10256,1.10308,664.24
2020-01-05T19:00:00+00:00,1.10308,1.10562,1.10286,1.10411,872.6
2020-01-05T20:00:00+00:00,1.10411,1.10481,1.10367,1.10468,1417.51
2020-01-05T21:00:00+00:00,1.10468,1.10532,1.10292,1.1035,734.61
2020-01-05T22:00:00+00:00,1.1035,1.10374,1.10262,1.10323,1198.82
2020-01-05T23:00:00+00:00,1.10323,1.10365,1.10321,1.10327,717.56
2020-01-06T00:00:00+00:00,1.10327,1.1036,1.10309,1.10316,936.82
2020-01-06T01:00:00+00:00,1.10316,1.10317,1.10222,1.1023,721.47
2020-01-06T02:00:00+00:00,1.1023,1.1028,1.10078,1.10173,867.07
2020-01-06T03:00:00+00:00,1.10173,1.10319,1.09983,1.1004,1154.32
2020-01-06T04:00:00+00:00,1.1004,1.101,1.10026,1.10085,524.38
