20200101 000000;1.1;1.10109;1.09803;1.09867;0
20200101 010000;1.09867;1.09949;1.0981;1.0985;0
20200101 020000;1.0985;1.10057;1.09809;1.10004;0
20200101 030000;1.10004;1.10014;1.09832;1.0992;0
20200101 040000;1.0992;1.10003;1.09892;1.09999;0
20200101 050000;1.09999;1.10024;1.09994;1.10005;0
20200101 060000;1.10005;1.10023;1.0986;1.09962;0
20200101 070000;1.09962;1.10007;1.09885;1.09982;0
20200101 080000;1.09982;1.10139;1.09818;1.09911;0
20200101 090000;1.09911;1.10137;1.09848;1.09986;0
20200101 100000;1.09986;1.10095;1.09961;1.10061;0
20200101 110000;1.10061;1.10098;1.10043;1.10086;0
20200101 120000;1.10086;1.10261;1.10035;1.10257;0
20200101 130000;1.10257;1.10369;1.10231;1.10311;0
20200101 140000;1.10311;1.10322;1.10293;1.103;0
20200101 150000;1.103;1.10355;1.1025;1.103;0
20200101 160000;1.103;1.10376;1.10176;1.102;0
20200101 170000;1.102;1.10517;1.10152;1.10319;0
20200101 180000;1.10319;1.10718;1.1024;1.10564;0
20200101 190000;1.10564;1.10598;1.10208;1.1037;0
20200101 200000;1.1037;1.10552;1.10226;1.10436;0
20200101 210000;1.10436;1.10558;1.10312;1.10523;0
20200101 220000;1.10523;1.1071;1.10303;1.10385;0
20200101 230000;1.10385;1.10409;1.10334;1.10356;0
20200102 000000;1.10356;1.10669;1.10196;1.10212;0
20200102 010000;1.10212;1.10362;1.10152;1.10352;0
20200102 020000;1.10352;1.10473;1.10058;1.10176;0
20200102 030000;1.10176;1.10525;1.10008;1.10413;0
20200102 040000;1.10413;1.10464;1.104;1.10444;0
20200102 050000;1.10444;1.10569;1.10227;1.10308;0
20200102 060000;1.10308;1.10582;1.10279;1.10437;0
20200102 070000;1.10437;1.10661;1.10286;1.1066;0
20200102 080000;1.1066;1.10674;1.10377;1.10476;0
20200102 090000;1.10476;1.10494;1.10307;1.10424;0
20200102 100000;1.10424;1.10615;1.10328;1.10578;0
20200102 110000;1.10578;1.10683;1.10551;1.10655;0
20200102 120000;1.10655;1.1078;1.10504;1.10526;0
20200102 130000;1.10526;1.10639;1.10348;1.10427;0
20200102 140000;1.10427;1.10474;1.10394;1.10402;0
20200102 150000;1.10402;1.10555;1.10277;1.10328;0
20200102 160000;1.10328;1.10479;1.10327;1.1047;0
20200102 170000;1.1047;1.10525;1.10127;1.10266;0
20200102 180000;1.10266;1.10355;1.10162;1.10172;0
20200102 190000;1.10172;1.10316;1.09948;1.10044;0
20200102 200000;1.10044;1.10388;1.09839;1.10325;0
20200102 210000;1.10325;1.10569;1.10238;1.10433;0
20200102 220000;1.10433;1.10524;1.10364;1.10368;0
20200102 230000;1.10368;1.10452;1.10346;1.10397;0
20200103 000000;1.10397;1.10515;1.10154;1.10257;0
20200103 010000;1.10257;1.10329;1.10174;1.10323;0
20200103 020000;1.10323;1.10423;1.10314;1.10356;0
20200103 030000;1.10356;1.10365;1.10242;1.10276;0
20200103 040000;1.10276;1.10301;1.10242;1.10246;0
20200103 050000;1.10246;1.10264;1.10054;1.10138;0
20200103 060000;1.10138;1.10238;1.101;1.10157;0
20200103 070000;1.10157;1.10196;1.10081;1.10136;0
20200103 080000;1.10136;1.10144;1.10101;1.10114;0
20200103 090000;1.10114;1.10134;1.09844;1.10015;0
20200103 100000;1.10015;1.10115;1.09986;1.10065;0
